Date,Windows Whiteboard,Android Whiteboard,Mac & IPadOs Whiteboard
2024-02-01,0,0,0
2024-02-02,0,0,0
2024-02-03,0,0,0
2024-02-04,0,0,0
2024-02-05,0,0,0
2024-02-06,0,0,0
2024-02-07,0,0,0
2024-02-08,0,0,0
2024-02-09,0,0,0
2024-02-10,0,0,0
2024-02-11,0,0,0
2024-02-12,0,0,0
2024-02-13,0,0,0
2024-02-14,0,0,0
2024-02-15,2,0,0
2024-02-16,7,0,0
2024-02-17,16,0,0
2024-02-18,1,0,0
2024-02-19,10,0,0
2024-02-20,15,0,0
2024-02-21,10,0,0
2024-02-22,11,0,0
2024-02-23,12,0,0
2024-02-24,2,0,0
2024-02-25,0,0,0
2024-02-26,15,0,0
2024-02-27,11,0,0
2024-02-28,1,0,0
2024-02-29,13,0,0
